id	ip	hostname	lable password area
10517	172.30.30.249	IDC-Contractredis-02	Contract_Manage
10253	172.30.32.154	172.30.32.154	Core_System_ShiSuan
10254	172.30.32.168	172.30.32.168	Core_System_ShiSuan
10255	172.30.32.152	172.30.32.152	Core_System_ShiSuan
10256	172.30.32.153	172.30.32.153	Core_System_ShiSuan
10257	172.30.32.156	172.30.32.156	Core_System_ZhaiQuan
10258	172.30.32.157	172.30.32.157	Core_System_ZhaiQuan
10259	172.30.32.167	172.30.32.167	Core_System_ZhaiQuan
10260	172.30.32.151	172.30.32.151	Core_System_ZhaiQuan
10609	10.19.64.1	IDC-DOCKER-01	Docker_Server
10611	10.19.64.2	IDC-DOCKER-02	Docker_Server
10537	172.30.32.101	idc-elk-redis	ELK
10538	172.30.32.102	idc-elk-logstash	ELK
10539	172.30.32.104	idc-elk-es2	ELK
10559	172.30.32.105	idc-elk-kibana	ELK
10560	172.30.32.103	idc-elk-es1	ELK
10262	172.30.32.162	172.30.32.162	IDFA
10544	172.30.33.88	i608-dockerro-1	jenkins
10576	172.16.250.182	sit-auto-01	jenkins
10612	172.30.33.208	i703-supportu-1	Jumpserver
10613	172.30.33.210	i703-supportu-3	Jumpserver
10614	172.30.33.209	i703-supportu-2	Jumpserver
10105	172.30.30.62	activity-nginx-62	Linux servers
10106	172.30.30.64	activity-nginx-252	Linux servers
10156	172.30.30.87	172.30.30.87	Linux servers
10157	172.30.30.61	172.30.30.61	Linux servers
10493	172.30.30.63	172.30.30.63	Linux servers
10241	172.30.32.61	172.30.32.61	PAY
10242	172.30.32.62	172.30.32.62	PAY
10243	172.30.32.210	172.30.32.210	PAY
10244	172.30.32.211	172.30.32.211	PAY
10246	192.168.251.33	192.168.251.33	PAY
10247	192.168.251.34	192.168.251.34	PAY
10567	172.30.33.13	I606-PAYWBAPI-1	PAY
10568	172.30.33.14	I606-PAYWBAPI-2	PAY
10241	172.30.32.61	172.30.32.61	pay_inside_service
10242	172.30.32.62	172.30.32.62	pay_inside_service
10243	172.30.32.210	172.30.32.210	pay_inside_service
10244	172.30.32.211	172.30.32.211	pay_inside_service
10499	172.30.32.64	172.30.32.64	pay_inside_service
10500	172.30.32.215	172.30.32.215	pay_inside_service
10246	192.168.251.33	192.168.251.33	pay_public_server
10247	192.168.251.34	192.168.251.34	pay_public_server
10216	172.30.30.105	172.30.30.105	PBOC
10217	172.30.30.202	172.30.30.202	PBOC
10316	172.30.30.180	172.30.30.180	PBOC
10342	172.30.30.181	172.30.30.181	PBOC
10411	172.30.32.65	IDC-Cobra-02	Q-ONE
10412	172.30.32.66	IDC-Cobra-03	Q-ONE
10307	172.30.30.163	172.30.30.163	redis
10132	172.30.32.171	IDC-UFOAPI-01	UFO
10133	172.30.32.172	IDC-UFOAPI-02	UFO
10134	172.30.32.173	IDC-UFOBKEND-01	UFO
10135	172.30.32.174	IDC-UFOBKEND-02	UFO
10136	172.30.32.175	IDC-UFOREDIS-01	UFO
10137	172.30.32.176	IDC-USFOREDIS-02	UFO
10138	172.30.32.177	IDC-UFOREDIS-03	UFO
10139	172.30.32.180	IDC-UFODB-03	UFO
10140	172.30.32.181	IDC-UFODB-04	UFO
10141	172.30.32.182	IDC-UFOMQ-01	UFO
10142	172.30.32.183	IDC-UFOMQ-02	UFO
10143	172.30.32.184	IDC-UFOAPING-01	UFO
10144	172.30.32.185	IDC-UFOAPING-02	UFO
10145	172.30.32.186	IDC-UFOBKDNG	UFO
10146	172.30.32.187	IDC-UFOBKDNG-01	UFO
10147	172.30.32.188	IDC-UFOMSGSQL-01	UFO
10148	172.30.32.189	IDC-UFOMSGSQL-02	UFO
10149	172.30.32.190	IDC-UFOMSG-01	UFO
10150	172.30.32.191	IDC-UFOMSG-02	UFO
10151	172.30.32.193	IDC-UFOELKLGS-01	UFO
10152	172.30.32.194	IDC-UFOELKES-01	UFO
10153	172.30.32.195	IDC-UFOELKBKN-01	UFO
10249	172.30.32.206	172.30.32.206	UFO
10250	172.30.32.207	172.30.32.207	UFO
10251	172.30.32.204	172.30.32.204	UFO
10252	172.30.32.205	172.30.32.205	UFO
10330	172.30.32.208	172.30.32.208	UFO
10402	172.30.32.192	IDC-UFOELKRDS-01	UFO
10315	172.29.250.72	172.29.250.72	wh-server
10306	172.29.250.73	172.29.250.73	wh-server
10324	172.29.250.74	172.29.250.74	wh-server
10305	172.29.250.75	172.29.250.75	wh-server
10270	172.29.250.98	172.29.250.98	wh-server
10273	172.29.250.99	172.29.250.99	wh-server
10454	172.29.250.108	W608-redissen-1	wh-server
10455	172.29.250.109	W608-redissen-2	wh-server
10456	172.29.250.110	W608-redissen-3	wh-server
10565	172.29.250.70	WH-Frontal-01	wh-server
10566	172.29.250.71	WH-Frontal-02	wh-server
10084	127.0.0.1	172.16.250.50	Zabbix servers
10267	172.16.250.49	172.16.250.49	Zabbix servers
10163	172.30.32.89	idc_zabbix_proxy_172.30.32.89	Zabbix servers
10544	172.30.33.88	i608-dockerro-1	个金管理系统
10569	172.30.30.52	PROD-APP-01	互联网IDC
10570	172.30.32.225	I606-VENDORMS-2	供应商管理系统
10571	172.30.32.224	I606-VENDORMS-1	供应商管理系统
10534	172.30.33.25	I607-MCAPISCD-1	商户管理系统
10535	172.30.33.26	I607-MCAPISCD-2	商户管理系统
10461	172.30.33.27	I607-MCAPINGX-1	商户管理系统
10460	172.30.33.28	I607-MCAPINGX-2	商户管理系统
10464	172.30.33.29	I607-MCSCCONF-1	商户管理系统
10536	172.30.33.30	I607-MCSCCONF-2	商户管理系统
10465	172.30.33.80	I607-NGCONFBC-1	商户管理系统
10575	172.30.33.99	I608-MCAPPSYS-1	商户管理系统
10556	172.30.30.20	172.30.30.20	夸客官网
10557	172.16.250.25	QF-Portal-01	夸客官网
10558	172.28.32.111	B611-WEBUTSRV-1	夸客官网
10407	172.30.33.10	I606-KSDWXSRV-1	夸时代
10408	172.30.33.11	I606-KSDWXSRV-2	夸时代
10409	172.30.33.8	I606-KSDWXUIA-1	夸时代
10410	172.30.33.9	I606-KSDWXUIA-2	夸时代
10531	172.30.33.15	I606-KSDWXSRV-4	夸时代
10530	172.30.33.12	I606-KSDWXSRV-3	夸时代
10551	172.30.33.122	172.30.33.122	夸时代
10552	172.30.33.123	172.30.33.123	夸时代
10451	172.30.33.100	I608-redissen-1	审核 redis sentinel
10452	172.30.33.101	I608-redissen-2	审核 redis sentinel
10453	172.30.33.102	I608-redissen-3	审核 redis sentinel
10454	172.29.250.108	W608-redissen-1	审核 redis sentinel
10455	172.29.250.109	W608-redissen-2	审核 redis sentinel
10456	172.29.250.110	W608-redissen-3	审核 redis sentinel
10457	172.16.250.160	Q608-redissen-4	审核 redis sentinel
10458	172.16.250.161	Q608-redissen-5	审核 redis sentinel
10459	172.16.250.162	Q608-redissen-6	审核 redis sentinel
10389	172.30.30.43	IDC-File-02	审核-File
10390	172.16.1.136	Local-File-01	审核-File
10391	172.16.1.137	Local-File-02	审核-File
10561	172.30.30.48	IDC-Bkend-01	审核-File
10562	172.30.30.49	IDC-Bkend-02	审核-File
10564	172.30.30.42	IDC-File-01	审核-File
10565	172.29.250.70	WH-Frontal-01	审核-File
10566	172.29.250.71	WH-Frontal-02	审核-File
10286	172.30.33.51	I607-PRECRASY-1	审核系统 precobra
10287	172.30.33.52	I607-PRECRASY-2	审核系统 precobra
10502	172.30.33.108	I609-PRECRASYS-1	审核系统 precobra
10503	172.30.33.109	I609-PRECRASYS-2	审核系统 precobra
10371	172.30.33.53	172.30.33.53	审核系统 product
10372	172.30.33.54	172.30.33.54	审核系统 product
10301	172.30.33.50	172.30.33.50	审核系统 qf-job
10373	172.30.33.49	I607-QFJOBSYS-1	审核系统 qf-job
10324	172.29.250.74	172.29.250.74	审核系统 redis
10305	172.29.250.75	172.29.250.75	审核系统 redis
10313	172.16.1.134	172.16.1.134	审核系统 redis
10314	172.16.1.135	172.16.1.135	审核系统 redis
10317	172.16.250.151	172.16.250.151	审核系统 redis
10310	172.30.30.71	172.30.30.71	审核系统 redis
10311	172.30.30.78	172.30.30.78	审核系统 redis
10323	172.30.30.79	172.30.30.79	审核系统 redis
10515	172.30.30.70	IDC-CacheInner-01	审核系统 redis
10281	172.30.33.39	172.30.33.39	审核系统-bkend
10288	172.30.33.40	I607-BKENDSYS-2	审核系统-bkend
10295	172.30.33.41	172.30.33.41	审核系统-bkend
10296	172.30.33.42	172.30.33.42	审核系统-bkend
10297	172.30.33.43	172.30.33.43	审核系统-bkend
10298	172.30.33.44	172.30.33.44	审核系统-bkend
10299	172.30.33.45	172.30.33.45	审核系统-bkend
10300	172.30.33.46	172.30.33.46	审核系统-bkend
10300	172.30.33.46	172.30.33.46	审核系统-bkend
10292	172.30.33.47	I607-DESAUSYS-1	审核系统-des
10374	172.30.33.48	172.30.33.48	审核系统-des
10504	172.30.33.106	I609-DESAUSYS-1	审核系统-des
10505	172.30.33.107	I609-DESAUSYS-2	审核系统-des
10269	172.30.33.5	I606-FRONTALT-2	审核系统-frontal
10270	172.29.250.98	172.29.250.98	审核系统-frontal
10271	172.30.33.7	I606-swap	审核系统-frontal
10272	172.30.33.6	I606-FRONTALT-3	审核系统-frontal
10273	172.29.250.99	172.29.250.99	审核系统-frontal
10274	172.30.33.4	I606-FRONTALT-1	审核系统-frontal
10577	172.16.1.89	Q606-FRONTALT-1	审核系统-frontal
10578	172.16.1.90	Q606-FRONTALT-2	审核系统-frontal
10579	172.16.1.91	Q606-FRONTALT-3	审核系统-frontal
10386	172.30.32.141	IDC-ACTIVEMQ-02	审核系统-MQ
10387	172.30.32.140	IDC-ACTIVEMQ-01	审核系统-MQ
10337	172.30.30.39	172.30.30.39	审核系统-nginx
10338	172.30.30.69	172.30.30.69	审核系统-nginx
10322	172.16.1.69	172.16.1.69	审核系统-nginx
10312	172.16.1.128	172.16.1.128	审核系统-nginx
10306	172.29.250.73	172.29.250.73	审核系统-nginx
10315	172.29.250.72	172.29.250.72	审核系统-nginx
10308	172.30.30.106	172.30.30.106	审核系统-nginx
10309	172.30.30.107	172.30.30.107	审核系统-nginx
10318	172.30.30.140	172.30.30.140	审核系统workflow
10319	172.30.30.142	172.30.30.142	审核系统workflow
10320	172.30.30.141	172.30.30.141	审核系统workflow
10370	172.30.30.3	172.30.30.3	小贷通
10512	172.30.32.150	IDC-SmallLoanNG-01	小贷通
10511	172.30.32.163	IDC-SmallLoanNG-02	小贷通
10615	172.30.32.160	IDC-LoanWeb-02	小贷通
10406	172.30.30.112	idc-auxcore-01	小贷通
10376	172.30.32.133	IDC-BIDJOB-01.quark.com	标的
10377	172.30.32.131	IDC-BIDAPP-01.quark.com	标的
10378	172.30.32.132	IDC-BIDAPP-02.quark.com	标的
10379	172.30.32.169	IDC-BIDAPP-03.quark.com	标的
10380	172.30.32.170	IDC-BIDJOB-02.quark.com	标的
10352	172.30.30.133	IDC-CarJudge-01	申请系统
10353	172.30.30.134	IDC-CarJudge-02	申请系统
10354	172.30.30.51	IDC-QAPPsrv-01	申请系统
10355	172.30.30.55	IDC-QAPPsrv-02	申请系统
10356	172.30.30.68	IDC-QAPPsrv-03	申请系统
10381	172.30.30.159	IDC-QAPPsrv-04	申请系统
10382	172.30.30.160	IDC-QAPPsrv-05	申请系统
10383	172.30.30.161	IDC-QappSrv-06	申请系统
10384	172.30.30.162	IDC-QappSrv-07	申请系统
10366	172.30.30.41	idc-qapp-host.quark.com	申请系统
10363	172.30.30.135	idc-hjmotor-01.quark.com	申请系统
10364	172.30.30.136	idc-hjmotor-02.quark.com	申请系统
10365	172.30.30.137	idc-hjmotor-03.quark.com	申请系统
10509	172.30.33.96	I609-REDISSYS-1	申请系统
10507	172.30.33.97	I609-REDISSYS-2	申请系统
10508	172.30.33.113	I609-REDISSYS-3	申请系统
10510	172.30.33.95	I608-QCRDTCLD-1	申请系统
10523	172.30.33.60	I607-PRDSMRDS-1	短信平台
10525	172.30.33.61	I607-PRDSMRDS-2	短信平台
10524	172.30.33.62	I607-PRDSMSMQ-1	短信平台
10522	172.30.33.59	I607-PRDSMSNG-1	短信平台
10616	10.19.64.69	i702-elkredis-1	线下应用ELK
10392	172.30.30.110	IDC-Wechat-01	财富微信
10403	172.16.250.33	QF-Signature-01	财富微信
10404	172.30.30.20	WEB	财富微信
10405	172.30.30.65	IDC-APP-02	财富微信
10519	172.30.32.148	IDC-nginxweixin-01	财富微信
10520	172.30.32.147	IDC-wechat-02	财富微信
10521	172.30.32.149	IDC-wechat-03	财富微信
10482	172.30.33.103	i609-scdproaf-1	阿福
10483	172.30.33.104	i609-scdproaf-2	阿福
10484	172.30.33.105	i609-gwyproaf-1	阿福
10485	172.30.33.111	IDC-DAC-01	阿福
10486	172.30.33.114	IDC-DAC-03	阿福
10487	172.30.33.112	IDC-DAC-02	阿福
10488	172.30.33.115	IDC-DAC-04	阿福
10490	172.30.33.119	I609-AFNGINXY-1	阿福
10491	172.30.33.120	IDC-NGINXAF-02	阿福
10357	172.30.30.98	DMZ-PreQapp-01	预申请系统
10358	172.30.30.99	DMZ-PreQapp-02	预申请系统
10359	172.30.30.100	DMZ-PreQapp-03	预申请系统
10360	172.30.30.101	DMZ-PreQapp-04	预申请系统
10361	172.30.30.102	IDC-PreQapp-01	预申请系统
10362	172.30.30.103	IDC-PreQapp-02	预申请系统
